"ID","Qualidade","Percepcao_Recompensas","Intencao_Comportamental"
352,1,5,5
353,2.58333333333333,5,5
354,3,2.77777777777778,2.2
355,1,5,5
356,1,5,5
357,2.75,5,5
358,1,5,5
359,1,5,5
360,1,5,5
361,1,5,5
362,2.41666666666667,5,5
363,3.33333333333333,5,5
364,2.58333333333333,5,5
365,1,5,1
366,1,5,5
367,1,5,5
368,1,5,5
369,1,5,5
370,1,5,5
371,1,5,5
372,3,5,5
373,1,5,5
374,1,2.33333333333333,2.2
375,1,1,1
376,2,5,5
377,1,5,5
378,1,5,5
379,1,4.33333333333333,5
380,1,5,5
381,1,5,5
382,1,5,5
383,1,5,5
384,1,4.33333333333333,5
385,3,5,5
386,1,5,5
387,2.58333333333333,3.66666666666667,3.6
388,1,5,5
389,1,5,5
390,1,5,5
391,3,2.33333333333333,2.2
392,1,5,5
393,1.66666666666667,5,5
394,1,5,5
395,1,5,2.2
396,1,5,3.8
397,1,5,2.2
398,1,5,5
399,1,5,5
400,3,5,5
401,1,5,5
402,1,5,5
403,3.33333333333333,5,5
404,1,5,5
405,2.41666666666667,3.66666666666667,3.6
406,1,1,1
407,1,5,5
408,1,2.33333333333333,2.2
409,1,5,5
410,1,5,5
411,1,5,5
412,1,5,5
413,1,5,5
414,1,5,5
415,1.75,5,5
416,3.33333333333333,5,5
417,1,2.33333333333333,2.2
418,1,5,5
419,2.25,5,5
420,1,5,5
421,1,5,5
422,2,5,5
423,1,5,5
424,1,5,5
425,1,5,5
426,1,5,5
427,2.58333333333333,5,5
428,1,5,5
429,1,5,5
430,1,5,5
431,1,5,5
432,1,5,5
433,1,5,5
434,1,5,5
435,1,5,5
436,1,5,5
437,1,5,5
438,1,5,5
439,1,5,5
440,1,5,5
441,1,5,5
442,1,5,5
443,1,5,5
444,1,5,5
445,1,5,5
446,1,5,5
447,3,5,5
448,1,5,5
449,1,5,5
450,1,5,5
451,1,1,1
452,1,5,5
453,1,5,5
454,1,5,5
455,1,5,5
456,1,5,5
457,1,5,5
458,2.91666666666667,5,5
459,1.91666666666667,5,5
460,1,5,5
461,1.5,5,5
462,1,5,5
463,1,5,5
464,3,5,5
465,2.58333333333333,5,5
466,1,5,5
467,1,5,5
468,1,5,5
469,1,1,1
470,1,5,5
471,1,5,5
472,1,5,5
473,1,5,5
474,3,5,5
475,1,5,5
476,1,5,5
477,3,5,5
478,1,5,5
479,1,5,5
480,1,5,5
481,1,5,5
482,2.75,5,5
483,1,5,5
484,1,4.11111111111111,5
485,1,5,5
486,1,5,5
487,3,5,5
488,2,3.44444444444444,3.6
489,1,1,1
490,1,5,5
491,1,5,5
492,1,5,5
493,1,5,5
494,1,5,5
495,1,5,5
496,2.66666666666667,5,5
497,1,5,5
498,1,5,5
499,1,5,5
500,1,5,5
501,1,5,5
502,1,5,5
503,1,5,5
504,3,5,5
505,1,1,1
506,1,5,5
507,1,5,5
508,3,5,5
509,1,5,5
510,1,5,5
511,1,5,5
512,2.66666666666667,5,5
513,1,5,5
514,3,5,5
515,1,5,5
516,1,5,5
517,2.66666666666667,5,5
518,1,5,5
519,1,5,5
520,1,5,5
521,1,5,5
522,1,5,5
523,2.41666666666667,5,5
524,1,5,5
525,1,5,5
526,1,5,5
527,1,5,5
528,1,5,5
529,1,5,5
530,2.83333333333333,5,5
531,1,5,5
532,3,5,5
533,1,5,5
534,1,5,5
535,1,5,5
536,2.66666666666667,5,5
537,1,5,5
538,1,5,5
539,1,5,5
540,1,5,5
541,1,5,5
542,1,5,5
543,3,5,5
544,2.75,5,5
545,1,5,5
546,1,5,5
547,1,5,5
548,1,5,5
549,1,5,5
550,1,5,5
551,1,5,5
552,3,5,5
553,1,5,5
554,1,5,5
555,1,5,5
556,1,5,5
557,1,5,5
558,1,5,5
559,1,5,5
560,1,5,5
561,1,5,5
562,1,5,5
563,1,5,5
564,1,5,5
565,1,5,5
566,3,5,5
567,1,5,5
568,1,1,1
569,3.33333333333333,5,5
570,1,5,5
571,1,5,5
572,2.33333333333333,5,5
573,1,5,5
574,1,5,5
575,1,5,5
576,2,5,5
577,1,5,5
578,1,5,5
579,1,5,5
580,1.75,5,5
581,1,5,5
582,1,3.66666666666667,3.6
583,1,5,5
584,1,5,5
585,1,5,5
586,3.33333333333333,5,5
587,1,5,5
588,1,5,5
589,1,5,5
590,1,5,5
591,1,5,5
592,2.66666666666667,5,5
593,1,5,5
594,1,5,5
595,1,1,1
596,1,5,5
597,2.66666666666667,5,5
598,1,5,5
599,1,5,5
600,2,5,5
601,2.58333333333333,4.55555555555556,5
602,2.91666666666667,4.44444444444444,4.6
603,2.75,3.66666666666667,3.75
604,3.33333333333333,4,4
605,3.58333333333333,3.44444444444444,2.6
606,3,3.11111111111111,2.875
607,3,2.77777777777778,3
608,1.83333333333333,4.11111111111111,5
609,2.58333333333333,4.77777777777778,5
610,2.41666666666667,4.66666666666667,5
611,3.58333333333333,3.55555555555556,3.66666666666667
612,3.33333333333333,2.33333333333333,2
613,1.91666666666667,3.22222222222222,3
615,2.41666666666667,4.22222222222222,3
616,3.41666666666667,3.44444444444444,2
617,2.91666666666667,2.88888888888889,2
618,2.5,4.11111111111111,4.4
619,2.66666666666667,3.22222222222222,3
620,3,3,3
621,2.58333333333333,3.11111111111111,3
622,2.58333333333333,4,2.33333333333333
623,3.16666666666667,3.77777777777778,3
624,2.5,3.11111111111111,1
625,3.25,3.44444444444444,3
626,2.08333333333333,4.11111111111111,3
627,2.66666666666667,3.11111111111111,2
628,3.66666666666667,3.77777777777778,3
629,2,3.22222222222222,1.7
630,3.5,3.88888888888889,2
631,3.08333333333333,3.66666666666667,3
632,4.25,3,3
634,1.5,2.33333333333333,2.2
635,3.08333333333333,3.33333333333333,2.57142857142857
636,2.25,4.22222222222222,3
637,2.75,4.44444444444444,3
638,2.25,3.33333333333333,3
639,1.58333333333333,4.33333333333333,3.66666666666667
640,3.5,3,3
641,2.5,3.44444444444444,3
642,3.75,3.66666666666667,3
643,3.08333333333333,2.88888888888889,3
644,2.5,3.22222222222222,2.625
645,2.66666666666667,3.55555555555556,2
646,2.75,3.55555555555556,3
647,2.08333333333333,3.33333333333333,3
648,3.33333333333333,3.33333333333333,4.7
649,1.58333333333333,3.55555555555556,3
650,2.75,3.88888888888889,3.33333333333333
651,3.16666666666667,3.22222222222222,3
652,1,5,5
653,1,5,5
654,1,5,5
655,1,5,5
656,1,5,5
657,1,5,5
658,1,5,5
659,1,5,5
660,1,5,5
661,2.66666666666667,5,5
662,1,5,5
663,1,5,5
664,1,5,5
665,1,5,5
666,1,5,5
667,1,5,5
668,2.66666666666667,5,5
669,1,5,5
670,1,5,5
671,1,5,5
672,1.91666666666667,5,5
673,2.66666666666667,5,5
674,1,5,5
675,1,5,5
676,3,5,5
677,1,5,5
678,2,5,5
679,1,5,5
680,1,5,5
681,1,5,5
682,2.66666666666667,5,5
683,1,5,5
684,1,5,5
685,1,5,5
686,2,3.66666666666667,3.6
687,1,5,5
688,1,1,1
689,1,5,5
690,1,5,5
691,1,5,5
692,1,5,5
693,1.66666666666667,5,5
694,1,5,5
695,1,5,5
696,1,5,5
697,1,5,5
698,2.33333333333333,5,5
699,1,5,5
700,1,5,5
701,1,5,5
702,1,5,5
703,1.66666666666667,5,5
