ID,Qual a forma que você faz a maioria das viagens?,Você tem carteira de motorista?,Você tem veículo próprio?,Você costuma usar o transporte público em quais dias?,Como você define sua frequência de uso do transporte público?,"Quantas passagens você usa por dia em suas viagens no transporte público?
",Qual o meio de pagamento você utiliza para pagar pelo transporte?,Qual a principal razão dos seus deslocamentos diários?,Quanto tempo você gasta por dia com transporte?,"Qual a principal razão pela qual você preferiria utilizar outro meio de transporte ao invés do transporte público?

"
21,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 30 minutos e 1 hora,Comodidade pra ir a qualquer lugar a qualquer momento  
22,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 30 minutos e 1 hora,Quero ter um veículo próprio 
23,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Estudo,Entre 2 horas e 3 horas,Me sentir mais  seguro 
24,Utilizo moto ,Não tenho,Não tenho,Em dias uteis,Uso menos de uma vez por semana,Duas passagens por dia ,Dinheiro,Trabalho,Mais de 4 horas por dia,Levo menos tempo 
25,Utilizo carro ,Não tenho,Não tenho,Em dias uteis, Não utilizo o transporte público,Não utilizo o transporte público,Dinheiro,Trabalho,Mais de 4 horas por dia,Quero ter um veículo próprio 
26,Utilizo carro ,Não tenho,Não tenho,Em dias uteis, Não utilizo o transporte público,Não utilizo o transporte público,Dinheiro,Trabalho,Entre 30 minutos e 1 hora,Comodidade pra ir a qualquer lugar a qualquer momento  
27,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 1 hora e 2 horas,Me sentir mais  seguro 
28,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 30 minutos e 1 hora,Me sentir mais  seguro 
29,Utilizo moto ,Não tenho,Não tenho,Em dias uteis, Não utilizo o transporte público,Não utilizo o transporte público,Dinheiro,Trabalho,Entre 30 minutos e 1 hora,Levo menos tempo 
30,Utilizo carro ,Não tenho,Não tenho,Em dias uteis, Não utilizo o transporte público,Não utilizo o transporte público,Dinheiro,Trabalho,Entre 1 hora e 2 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
31,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Quatro passagens ou mais ,Vale transporte,Trabalho,Entre 1 hora e 2 horas,Me sentir mais  seguro 
32,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 1 hora e 2 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
33,Utilizo moto ,Não tenho,Não tenho,Em dias uteis, Não utilizo o transporte público,Não utilizo o transporte público,Dinheiro,Trabalho,Entre 30 minutos e 1 hora,Comodidade pra ir a qualquer lugar a qualquer momento  
34,Utilizo carro ,Não tenho,Não tenho,Em dias uteis, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Trabalho,Entre 1 hora e 2 horas,Me sentir mais  seguro 
35,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 1 hora e 2 horas,Me sentir mais  seguro 
36,"Faço viagens usando aplicativos (uber,99taxis outros...)",Não tenho,Não tenho,Em dias uteis, Não utilizo o transporte público,Uma passagem por dia,Cartão de crédito,Trabalho,Entre 1 hora e 2 horas,Por ser mais confortavél 
37,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Estudo,Entre 1 hora e 2 horas,Quero ter um veículo próprio 
38,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Quatro passagens ou mais ,Vale transporte,Trabalho,Entre 2 horas e 3 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
39,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Estudo,Entre 1 hora e 2 horas,Me sentir mais  seguro 
40,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Estudo,Entre 30 minutos e 1 hora,Levo menos tempo 
41,Utilizo moto ,Não tenho,Não tenho,Em dias uteis, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Trabalho,Mais de 4 horas por dia,Comodidade pra ir a qualquer lugar a qualquer momento  
42,Utilizo carro ,Não tenho,Não tenho,Em dias uteis, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Trabalho,Entre 1 hora e 2 horas,Quero ter um veículo próprio 
43,Utilizo carro ,Não tenho,Não tenho,Em dias uteis, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Trabalho,Entre 1 hora e 2 horas,Quero ter um veículo próprio 
44,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 1 hora e 2 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
45,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Cartão de transporte,Trabalho,Entre 1 hora e 2 horas,Me sentir mais  seguro 
46,Utilizo moto ,"Sim, de moto ",Tenho,Em feriados, Não utilizo o transporte público,Não utilizo o transporte público,Dinheiro,Trabalho,Entre 1 hora e 2 horas,Levar menos tempo 
47,Utilizo o transporte público,"Sim, de carro",Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Cartão de transporte,Trabalho,Entre 2 horas e 3 horas,Levar menos tempo 
48,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Três passagens por dia ,Cartão de transporte,Estudo,Entre 1 hora e 2 horas,Me sentir mais  seguro 
49,Utilizo o transporte público,"Sim, de carro",Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Cartão de transporte,Trabalho,Entre 2 horas e 3 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
50,Utilizo carro ,"Sim, de carro",Tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Trabalho,Entre 1 hora e 2 horas,Levar menos tempo 
51,Utilizo o transporte público,"Sim, de uma ou mais categorias",Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 2 horas e 3 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
52,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Estudo,Entre 2 horas e 3 horas,Me sentir mais  seguro 
53,Utilizo o transporte público,"Sim, de carro",Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Quatro passagens ou mais ,Vale transporte,Trabalho,Entre 1 hora e 2 horas,Levar menos tempo 
54,Utilizo carro ,"Sim, de uma ou mais categorias",Tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Trabalho,Entre 30 minutos e 1 hora,Comodidade pra ir a qualquer lugar a qualquer momento  
55,Utilizo o transporte público,"Sim, de carro",Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 1 hora e 2 horas,Levar menos tempo 
56,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Três passagens por dia ,Cartão de transporte,Trabalho,Entre 2 horas e 3 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
57,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 1 hora e 2 horas,Me sentir mais  seguro 
58,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Estudo,Entre 30 minutos e 1 hora,Me sentir mais  seguro 
59,"Faço viagens usando aplicativos (uber,99taxis outros...)",Não tenho,Não tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Lazer,Até 30 minutos,Levar menos tempo 
60,Utilizo carro ,"Sim, de uma ou mais categorias",Tenho,Em feriados, Não utilizo o transporte público,Não utilizo o transporte público,Dinheiro,Trabalho,Entre 1 hora e 2 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
61,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 1 hora e 2 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
62,Utilizo carro ,"Sim, de uma ou mais categorias",Tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Trabalho,Entre 1 hora e 2 horas,Quero ter um veículo próprio 
63,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Estudo,Entre 30 minutos e 1 hora,Me sentir mais  seguro 
64,Utilizo carro ,"Sim, de uma ou mais categorias",Tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Trabalho,Entre 1 hora e 2 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
65,Utilizo o transporte público,"Sim, de carro",Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 2 horas e 3 horas,Me sentir mais  seguro 
66,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Quatro passagens ou mais ,Cartão de transporte,Trabalho,Entre 3 horas e 4 horas,Levar menos tempo 
67,Utilizo carro ,"Sim, de carro",Tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Trabalho,Mais de 4 horas por dia,Por ser mais confortavél 
68,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Quatro passagens ou mais ,Cartão de transporte,Estudo,Entre 2 horas e 3 horas,Me sentir mais  seguro 
69,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis, Não utilizo o transporte público,Duas passagens por dia ,Vale transporte,Trabalho,Entre 1 hora e 2 horas,Levar menos tempo 
70,"Faço viagens usando aplicativos (uber,99taxis outros...)",Não tenho,Não tenho,Aos sábados, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Lazer,Até 30 minutos,Me sentir mais  seguro 
71,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso uma ou duas vezes por semana,Duas passagens por dia ,Gratuidade ,Outros,Entre 1 hora e 2 horas,Levar menos tempo 
72,"Faço viagens usando aplicativos (uber,99taxis outros...)","Sim, de carro",Não tenho,Aos sábados,Uso menos de uma vez por semana,Não utilizo o transporte público,Cartão de crédito,Lazer,Até 30 minutos,Me sentir mais  seguro 
73,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Quatro passagens ou mais ,Vale transporte,Trabalho,Entre 2 horas e 3 horas,Levar menos tempo 
74,Utilizo o transporte público,"Sim, de moto ",Não tenho,Em dias uteis,Uso três a quatro vezes por semana,Duas passagens por dia ,Dinheiro,Trabalho,Entre 2 horas e 3 horas,Levar menos tempo 
75,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Cartão de transporte,Trabalho,Entre 2 horas e 3 horas,Levar menos tempo 
76,Utilizo moto ,"Sim, de moto ",Tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Dinheiro,Trabalho,Mais de 4 horas por dia,Quero ter um veículo próprio 
77,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Quatro passagens ou mais ,Vale transporte,Estudo,Entre 3 horas e 4 horas,Levar menos tempo 
78,Utilizo o transporte público,"Sim, de carro",Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 2 horas e 3 horas,Levar menos tempo 
79,Me desloco a pé ou usando bicicleta,Não tenho,Não tenho,Aos domigos,Uso menos de uma vez por semana,Não utilizo o transporte público,Dinheiro,Compras,Até 30 minutos,Comodidade pra ir a qualquer lugar a qualquer momento  
80,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 2 horas e 3 horas,Levar menos tempo 
81,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso uma ou duas vezes por semana,Duas passagens por dia ,Gratuidade ,Outros,Entre 30 minutos e 1 hora,Me sentir mais  seguro 
82,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso três a quatro vezes por semana,Duas passagens por dia ,Gratuidade ,Outros,Entre 1 hora e 2 horas,Levar menos tempo 
83,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 2 horas e 3 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
84,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 2 horas e 3 horas,Levar menos tempo 
85,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 2 horas e 3 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
86,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Cartão de transporte,Estudo,Entre 1 hora e 2 horas,Me sentir mais  seguro 
87,Utilizo o transporte público,"Sim, de carro",Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 2 horas e 3 horas,Levar menos tempo 
88,Utilizo carro ,"Sim, de uma ou mais categorias",Tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Trabalho,Entre 1 hora e 2 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
89,Utilizo carro ,"Sim, de carro",Tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Dinheiro,Trabalho,Entre 1 hora e 2 horas,Quero ter um veículo próprio 
90,Utilizo carro ,"Sim, de carro",Tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Trabalho,Entre 2 horas e 3 horas,Levar menos tempo 
91,Utilizo carro ,"Sim, de uma ou mais categorias",Tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Trabalho,Mais de 4 horas por dia,Quero ter um veículo próprio 
92,Utilizo carro ,"Sim, de carro",Tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Trabalho,Mais de 4 horas por dia,Comodidade pra ir a qualquer lugar a qualquer momento  
93,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Estudo,Entre 2 horas e 3 horas,Me sentir mais  seguro 
94,Utilizo o transporte público,"Sim, de carro",Tenho,Em dias uteis,Uso menos de uma vez por semana,Duas passagens por dia ,QR code,Trabalho,Até 30 minutos,Comodidade pra ir a qualquer lugar a qualquer momento  
95,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 1 hora e 2 horas,Me sentir mais  seguro 
96,Utilizo carro ,"Sim, de carro",Tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Dinheiro,Trabalho,Entre 30 minutos e 1 hora,Comodidade pra ir a qualquer lugar a qualquer momento  
97,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Cartão de transporte,Trabalho,Entre 2 horas e 3 horas,Levar menos tempo 
98,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Estudo,Entre 2 horas e 3 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
99,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Quatro passagens ou mais ,Vale transporte,Estudo,Entre 3 horas e 4 horas,Levar menos tempo 
100,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Cartão de transporte,Estudo,Entre 1 hora e 2 horas,Quero ter um veículo próprio 
101,"Faço viagens usando aplicativos (uber,99taxis outros...)",Não tenho,Não tenho,Aos sábados, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Trabalho,Entre 30 minutos e 1 hora,Comodidade pra ir a qualquer lugar a qualquer momento  
102,Utilizo carro ,"Sim, de uma ou mais categorias",Tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Trabalho,Mais de 4 horas por dia,Comodidade pra ir a qualquer lugar a qualquer momento  
103,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Cartão de transporte,Estudo,Entre 2 horas e 3 horas,Quero ter um veículo próprio 
104,Utilizo o transporte público,"Sim, de carro",Não tenho,Em dias uteis,Uso três a quatro vezes por semana,Duas passagens por dia ,Gratuidade ,Outros,Entre 1 hora e 2 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
105,Me desloco a pé ou usando bicicleta,Não tenho,Não tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Dinheiro,Estudo,Até 30 minutos,Quero ter um veículo próprio 
106,Utilizo o transporte público,"Sim, de ônibus e vans",Tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 1 hora e 2 horas,Me sentir mais  seguro 
107,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 2 horas e 3 horas,Levar menos tempo 
108,"Faço viagens usando aplicativos (uber,99taxis outros...)",Não tenho,Não tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Lazer,Entre 30 minutos e 1 hora,Comodidade pra ir a qualquer lugar a qualquer momento  
109,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Cartão de transporte,Estudo,Entre 2 horas e 3 horas,Me sentir mais  seguro 
110,Utilizo carro ,"Sim, de uma ou mais categorias",Tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Dinheiro,Trabalho,Entre 1 hora e 2 horas,Por ser mais confortavél 
111,"Faço viagens usando aplicativos (uber,99taxis outros...)",Não tenho,Não tenho,Aos domigos,Uso menos de uma vez por semana,Duas passagens por dia ,Dinheiro,Compras,Até 30 minutos,Por ser mais confortavél 
112,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 2 horas e 3 horas,Gastar menos que com transporte público
113,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Estudo,Entre 2 horas e 3 horas,Me sentir mais  seguro 
114,Utilizo o transporte público,"Sim, de carro",Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Quatro passagens ou mais ,Cartão de transporte,Estudo,Entre 3 horas e 4 horas,Levar menos tempo 
115,Utilizo o transporte público,"Sim, de moto ",Não tenho,Em dias uteis,Uso uma ou duas vezes por semana,Duas passagens por dia ,Vale transporte,Outros,Entre 30 minutos e 1 hora,Por ser mais confortavél 
116,Me desloco a pé ou usando bicicleta,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Cartão de transporte,Estudo,Até 30 minutos,Quero ter um veículo próprio 
117,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso uma ou duas vezes por semana,Duas passagens por dia ,Gratuidade ,Outros,Entre 30 minutos e 1 hora,Levar menos tempo 
118,Utilizo carro ,Não tenho,Não tenho,Em dias uteis,Uso menos de uma vez por semana,Duas passagens por dia ,Gratuidade ,Outros,Entre 1 hora e 2 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
119,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso três a quatro vezes por semana,Duas passagens por dia ,Gratuidade ,Outros,Entre 1 hora e 2 horas,Levar menos tempo 
120,Utilizo o transporte público,"Sim, de carro",Não tenho,Em dias uteis,Uso uma ou duas vezes por semana,Duas passagens por dia ,Gratuidade ,Outros,Entre 1 hora e 2 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
121,"Faço viagens usando aplicativos (uber,99taxis outros...)",Não tenho,Não tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Cartão de crédito,Trabalho,Até 30 minutos,Levar menos tempo 
122,Utilizo moto ,"Sim, de moto ",Tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Dinheiro,Trabalho,Entre 1 hora e 2 horas,Levar menos tempo 
123,Utilizo moto ,"Sim, de uma ou mais categorias",Tenho,Não uso o transporte público, Não utilizo o transporte público,Não utilizo o transporte público,Dinheiro,Estudo,Entre 1 hora e 2 horas,Levar menos tempo 
124,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Quatro passagens ou mais ,Vale transporte,Trabalho,Entre 3 horas e 4 horas,Levar menos tempo 
125,Utilizo o transporte público,"Sim, de carro",Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Vale transporte,Trabalho,Entre 2 horas e 3 horas,Levar menos tempo 
126,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Duas passagens por dia ,Cartão de transporte,Estudo,Entre 1 hora e 2 horas,Comodidade pra ir a qualquer lugar a qualquer momento  
127,Utilizo o transporte público,Não tenho,Não tenho,Em dias uteis,Uso cinco ou mais vezes por semana,Quatro passagens ou mais ,Cartão de transporte,Estudo,Entre 3 horas e 4 horas,Levar menos tempo 
