ID,Gênero ,Raça,Idade,"Nível de escolaridade
",Situação Profissional ,"Possui filhos?  (Insira o número, no caso de não possuir colocar o número zero)",Renda,Muito obrigado por fazer parte da nossa pesquisa utilize este espaço para deixar seus comentários e sugestões 
29,Masculino,Negra ( pretos e pardos),25–49,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),2,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
30,Masculino,Negra ( pretos e pardos),25–49,Graduação (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 3 a 5 salários mínimos: R$ 3.906 a R$ 6.510,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
31,Feminino,Branca,18–24,Graduação (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
32,Feminino,Negra ( pretos e pardos),25–49,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
33,Masculino,Negra ( pretos e pardos),25–49,Fundamental (completo ou incompleto),Empregado (carteira assinada ou autônomo),2,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
34,Feminino,Branca,18–24,Graduação (completo ou incompleto),Estudante,0,Até 1 salário mínimo:  R$ 1.302,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
35,Feminino,Negra ( pretos e pardos),18–24,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
36,Masculino,Negra ( pretos e pardos),25–49,Ensino Médio (completo ou incompleto),Motorista de Aplicativo,2,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
37,Feminino,Branca,18–24,Graduação (completo ou incompleto),Estagiário,0,Até 1 salário mínimo:  R$ 1.302,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
38,Feminino,Negra ( pretos e pardos),18–24,Graduação (completo ou incompleto),Estagiário,0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
39,Feminino,Negra ( pretos e pardos),18–24,Graduação (completo ou incompleto),Estudante,0,Até 1 salário mínimo:  R$ 1.302,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
40,Feminino,Branca,Menor que 18,Ensino Médio (completo ou incompleto),Estudante,0,Não possuo renda,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
41,Masculino,Negra ( pretos e pardos),25–49,Ensino Médio (completo ou incompleto),Motorista de Aplicativo,2,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
42,Masculino,Negra ( pretos e pardos),18–24,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
43,Masculino,Branca,18–24,Graduação (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
44,Feminino,Negra ( pretos e pardos),25–49 anos,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
45,Feminino,Negra ( pretos e pardos),25–49 anos,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),2,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
46,Masculino,Branca,18–24 anos,Fundamental (completo ou incompleto),Empregado (carteira assinada ou autônomo),1,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
47,Masculino,Negra ( pretos e pardos),18–24 anos,Graduação (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
48,Feminino,Negra ( pretos e pardos),18–24 anos,Graduação (completo ou incompleto),Estudante,0,Até 1 salário mínimo:  R$ 1.302,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
49,Feminino,Negra ( pretos e pardos),18–24 anos,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),4,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
50,Masculino,Branca,25–49 anos,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),1,De 3 a 5 salários mínimos: R$ 3.906 a R$ 6.510,"Bom dia, e valido esta pesquisa, mas as perguntas não foram bem elaboradas, pois se descorda de algo no item anterior no próximo você entra com a pergunta retornando a mesma ideia para dar atura resposta, como se descordo com a recompensa de algo para utilizar o transporte que vai gerar custo adicional pois agem vai pagar esta recompensa você retorna na próxima fase folhando se eu gostaria de ganhar 2 reais de recompensa . já falei que agostaria de ganhar nada , entendeu. Formular o questionário corretamente"
