"ID",Gênero ,Raça,Idade,"Nível de escolaridade
",Situação Profissional ,"Possui filhos?  (Insira o número, no caso de não possuir colocar o número zero)",Renda,Muito obrigado por fazer parte da nossa pesquisa utilize este espaço para deixar seus comentários e sugestões 
59,Masculino,Branca,25–49 anos,Graduação (completo ou incompleto),Empregado (carteira assinada ou autônomo),2,De 3 a 5 salários mínimos: R$ 3.906 a R$ 6.510,
60,Masculino,Branca,18–24 anos,Fundamental (completo ou incompleto),Motorista de Aplicativo,1,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,
61,Masculino,Negra ( pretos e pardos),18–24 anos,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
62,Feminino,Branca,18–24 anos,Graduação (completo ou incompleto),Estudante,0,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,
63,Feminino,Negra ( pretos e pardos),Menor que 18 anos,Graduação (completo ou incompleto),Estudante,0,Não possuo renda,
64,Masculino,Branca,25–49 anos,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),2,De 3 a 5 salários mínimos: R$ 3.906 a R$ 6.510,
65,Feminino,Negra ( pretos e pardos),18–24 anos,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),3,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
66,Feminino,Branca,50–64 anos,Ensino Médio (completo ou incompleto),Aposentado,4,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,
67,Masculino,Negra ( pretos e pardos),50–64 anos,Fundamental (completo ou incompleto),Motorista de Aplicativo,2,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,
68,Feminino,Branca,18–24 anos,Graduação (completo ou incompleto),Estudante,1,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
69,Feminino,Branca,18–24 anos,Graduação (completo ou incompleto),Estudante,0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
70,Feminino,Negra ( pretos e pardos),18–24 anos,Graduação (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 3 a 5 salários mínimos: R$ 3.906 a R$ 6.510,
71,Feminino,Negra ( pretos e pardos),65 anos ou mais,Ensino Médio (completo ou incompleto),Aposentado,4,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
72,Masculino,Branca,18–24 anos,Graduação (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 3 a 5 salários mínimos: R$ 3.906 a R$ 6.510,
73,Feminino,Negra ( pretos e pardos),25–49 anos,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,Até 1 salário mínimo:  R$ 1.302,
74,Masculino,Negra ( pretos e pardos),18–24 anos,Fundamental (completo ou incompleto),Desempregado,2,Até 1 salário mínimo:  R$ 1.302,
75,Outro,Negra ( pretos e pardos),25–49 anos,Fundamental (completo ou incompleto),Desempregado,0,Não possuo renda,
76,Masculino,Branca,18–24 anos,Ensino Médio (completo ou incompleto),Motorista de Aplicativo,2,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,
77,Feminino,Negra ( pretos e pardos),18–24 anos,Graduação (completo ou incompleto),Estudante,0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
78,Feminino,Amarela,25–49 anos,Graduação (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
79,Masculino,Branca,18–24 anos,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
80,Feminino,Negra ( pretos e pardos),25–49 anos,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
81,Feminino,Branca,65 anos ou mais,Fundamental (completo ou incompleto),Aposentado,2,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,
82,Feminino,Negra ( pretos e pardos),65 anos ou mais,Fundamental (completo ou incompleto),Aposentado,3,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
83,Feminino,Negra ( pretos e pardos),25–49 anos,Fundamental (completo ou incompleto),Empregado (carteira assinada ou autônomo),2,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
84,Masculino,Negra ( pretos e pardos),25–49 anos,Fundamental (completo ou incompleto),Empregado (carteira assinada ou autônomo),2,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
85,Masculino,Branca,18–24 anos,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),1,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,
86,Feminino,Negra ( pretos e pardos),18–24 anos,Ensino Médio (completo ou incompleto),Estudante,0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
87,Feminino,Branca,18–24 anos,Graduação (completo ou incompleto),Estudante,1,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
88,Masculino,Branca,25–49 anos,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),2,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,
89,Masculino,Negra ( pretos e pardos),25–49 anos,Fundamental (completo ou incompleto),Empregado (carteira assinada ou autônomo),3,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,
90,Masculino,Negra ( pretos e pardos),18–24 anos,Graduação (completo ou incompleto),Estudante,0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
91,Feminino,Branca,25–49 anos,Graduação (completo ou incompleto),Empregado (carteira assinada ou autônomo),2,De 3 a 5 salários mínimos: R$ 3.906 a R$ 6.510,
92,Masculino,Negra ( pretos e pardos),18–24 anos,Fundamental (completo ou incompleto),Empregado (carteira assinada ou autônomo),3,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,
93,Feminino,Negra ( pretos e pardos),25–49 anos,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
94,Feminino,Branca,25–49 anos,Graduação (completo ou incompleto),Estudante,2,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,
95,Feminino,Negra ( pretos e pardos),18–24 anos,Fundamental (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
96,Feminino,Branca,25–49 anos,Graduação (completo ou incompleto),Empregado (carteira assinada ou autônomo),3,De 3 a 5 salários mínimos: R$ 3.906 a R$ 6.510,Fica impossivel usar transporte publico tendo filhos pra levar pra escola
97,Masculino,Negra ( pretos e pardos),18–24 anos,Graduação (completo ou incompleto),Estudante,0,Não possuo renda,
98,Feminino,Negra ( pretos e pardos),Menor que 18 anos,Ensino Médio (completo ou incompleto),Estudante,0,Não possuo renda,
99,Feminino,Branca,Menor que 18 anos,Ensino Médio (completo ou incompleto),Estudante,0,Não possuo renda,
100,Masculino,Negra ( pretos e pardos),Menor que 18 anos,Ensino Médio (completo ou incompleto),Estudante,0,Não possuo renda,
101,Masculino,Branca,18–24 anos,Graduação (completo ou incompleto),Estudante,0,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,
102,Masculino,Negra ( pretos e pardos),25–49 anos,Fundamental (completo ou incompleto),Motorista de Aplicativo,3,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,
103,Feminino,Negra ( pretos e pardos),Menor que 18 anos,Ensino Médio (completo ou incompleto),Estudante,1,Não possuo renda,
104,Feminino,Branca,65 anos ou mais,Fundamental (completo ou incompleto),Aposentado,2,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
105,Feminino,Negra ( pretos e pardos),Menor que 18 anos,Ensino Médio (completo ou incompleto),Estudante,3,Até 1 salário mínimo:  R$ 1.302,
106,Masculino,Negra ( pretos e pardos),25–49 anos,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,Até 1 salário mínimo:  R$ 1.302,
107,Feminino,Branca,18–24 anos,Graduação (completo ou incompleto),Empregado (carteira assinada ou autônomo),2,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
108,Feminino,Branca,25–49 anos,"Pós-graduação (Especialização; MBA; Mestrado; Doutorado, seja completo ou incompleto)",Empregado (carteira assinada ou autônomo),1,De 3 a 5 salários mínimos: R$ 3.906 a R$ 6.510,
109,Feminino,Indígena,25–49 anos,Graduação (completo ou incompleto),Estudante,0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
110,Masculino,Negra ( pretos e pardos),50–64 anos,Ensino Médio (completo ou incompleto),Motorista de Aplicativo,1,De 3 a 5 salários mínimos: R$ 3.906 a R$ 6.510,
111,Feminino,Negra ( pretos e pardos),50–64 anos,Fundamental (completo ou incompleto),Desempregado,4,Não possuo renda,
112,Feminino,Negra ( pretos e pardos),18–24 anos,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),1,Até 1 salário mínimo:  R$ 1.302,
113,Feminino,Branca,25–49 anos,Ensino Médio (completo ou incompleto),Desempregado,2,Até 1 salário mínimo:  R$ 1.302,
114,Feminino,Negra ( pretos e pardos),18–24 anos,Graduação (completo ou incompleto),Estudante,0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
115,Feminino,Branca,50–64 anos,Fundamental (completo ou incompleto),Desempregado,3,Até 1 salário mínimo:  R$ 1.302,
116,Masculino,Negra ( pretos e pardos),Menor que 18 anos,Ensino Médio (completo ou incompleto),Estudante,0,Não possuo renda,
117,Masculino,Branca,65 anos ou mais,Fundamental (completo ou incompleto),Aposentado,2,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
118,Masculino,Negra ( pretos e pardos),65 anos ou mais,Ensino Médio (completo ou incompleto),Aposentado,3,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
119,Feminino,Negra ( pretos e pardos),65 anos ou mais,Ensino Médio (completo ou incompleto),Aposentado,2,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
120,Feminino,Negra ( pretos e pardos),65 anos ou mais,Fundamental (completo ou incompleto),Desempregado,0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
121,Masculino,Branca,18–24 anos,Graduação (completo ou incompleto),Desempregado,0,Não possuo renda,
122,Masculino,Negra ( pretos e pardos),25–49 anos,Fundamental (completo ou incompleto),Motorista de Aplicativo,1,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,
123,Feminino,Negra ( pretos e pardos),25–49 anos,Fundamental (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,Até 1 salário mínimo:  R$ 1.302,
124,Masculino,Negra ( pretos e pardos),25–49 anos,Ensino Médio (completo ou incompleto),Desempregado,1,Não possuo renda,
125,Feminino,Negra ( pretos e pardos),25–49 anos,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
126,Feminino,Negra ( pretos e pardos),18–24 anos,Graduação (completo ou incompleto),Empregado (carteira assinada ou autônomo),1,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
127,Feminino,Branca,18–24 anos,Graduação (completo ou incompleto),Estudante,0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
128,Masculino,Negra ( pretos e pardos),25–49 anos,Fundamental (completo ou incompleto),Motorista de Aplicativo,2,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,
129,Feminino,Negra ( pretos e pardos),65 anos ou mais,Fundamental (completo ou incompleto),Aposentado,3,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,
130,Feminino,Negra ( pretos e pardos),Menor que 18 anos,Ensino Médio (completo ou incompleto),Estudante,0,Não possuo renda,
131,Feminino,Negra ( pretos e pardos),18–24 anos,Ensino Médio (completo ou incompleto),Desempregado,1,Até 1 salário mínimo:  R$ 1.302,
132,Feminino,Negra ( pretos e pardos),18–24 anos,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,
133,Masculino,Negra ( pretos e pardos),25–49 anos,Ensino Médio (completo ou incompleto),Desempregado,0,Até 1 salário mínimo:  R$ 1.302,
134,Masculino,Negra ( pretos e pardos),50–64 anos,Fundamental (completo ou incompleto),Empregado (carteira assinada ou autônomo),3,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
135,Feminino,Negra ( pretos e pardos),25–49 anos,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),1,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
136,Masculino,Negra ( pretos e pardos),50–64 anos,Fundamental (completo ou incompleto),Motorista de Aplicativo,2,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,
137,Feminino,Negra ( pretos e pardos),18–24 anos,Ensino Médio ou Técnico (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
138,Feminino,Negra ( pretos e pardos),18–24 anos,Graduação (completo ou incompleto),Estudante,0,Não possuo renda,
139,Feminino,Negra ( pretos e pardos),25–49 anos,Fundamental (completo ou incompleto),Empregado (carteira assinada ou autônomo),2,Até 1 salário mínimo:  R$ 1.302,
140,Feminino,Branca,25–49 anos,Graduação (completo ou incompleto),Estudante,0,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,
141,Feminino,Negra ( pretos e pardos),65 anos ou mais,Fundamental (completo ou incompleto),Aposentado,3,Até 1 salário mínimo:  R$ 1.302,
142,Feminino,Negra ( pretos e pardos),65 anos ou mais,Ensino Médio ou Técnico (completo ou incompleto),Aposentado,2,Até 1 salário mínimo:  R$ 1.302,
143,Feminino,Negra ( pretos e pardos),18–24 anos,Ensino Médio ou Técnico (completo ou incompleto),Desempregado,2,Não possuo renda,
144,Feminino,Negra ( pretos e pardos),65 anos ou mais,Fundamental (completo ou incompleto),Aposentado,2,Até 1 salário mínimo:  R$ 1.302,
145,Masculino,Negra ( pretos e pardos),18–24 anos,Ensino Médio ou Técnico (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
146,Feminino,Branca,18–24 anos,Graduação (completo ou incompleto),Estudante,0,Não possuo renda,
147,Masculino,Negra ( pretos e pardos),Menor que 18 anos,Ensino Médio ou Técnico (completo ou incompleto),Estudante,0,Não possuo renda,
148,Masculino,Negra ( pretos e pardos),25–49 anos,Fundamental (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
149,Feminino,Negra ( pretos e pardos),25–49 anos,Ensino Médio ou Técnico (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
150,Feminino,Negra ( pretos e pardos),Menor que 18 anos,Ensino Médio ou Técnico (completo ou incompleto),Estudante,0,Até 1 salário mínimo:  R$ 1.302,
151,Feminino,Amarela,25–49 anos,Graduação (completo ou incompleto),Estudante,0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
152,Feminino,Negra ( pretos e pardos),25–49 anos,Ensino Médio ou Técnico (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,Até 1 salário mínimo:  R$ 1.302,
153,Feminino,Negra ( pretos e pardos),25–49 anos,Graduação (completo ou incompleto),Estudante,1,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
154,Feminino,Negra ( pretos e pardos),65 anos ou mais,Ensino Médio ou Técnico (completo ou incompleto),Aposentado,2,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
155,Masculino,Negra ( pretos e pardos),18–24 anos,Graduação (completo ou incompleto),Estudante,0,Não possuo renda,
156,Feminino,Negra ( pretos e pardos),25–49 anos,Graduação (completo ou incompleto),Estudante,1,Até 1 salário mínimo:  R$ 1.302,
157,Feminino,Negra ( pretos e pardos),18–24 anos,Graduação (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
158,Feminino,Negra ( pretos e pardos),25–49 anos,Graduação (completo ou incompleto),Estudante,0,Não possuo renda,
159,Masculino,Negra ( pretos e pardos),18–24 anos,Graduação (completo ou incompleto),Estudante,0,Até 1 salário mínimo:  R$ 1.302,
160,Feminino,Branca,18–24 anos,Graduação (completo ou incompleto),Estudante,0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
161,Feminino,Branca,25–49 anos,Graduação (completo ou incompleto),Estudante,0,Até 1 salário mínimo:  R$ 1.302,
162,Masculino,Negra ( pretos e pardos),18–24 anos,Graduação (completo ou incompleto),Estudante,1,Não possuo renda,
163,Masculino,Negra ( pretos e pardos),25–49 anos,"Pós-graduação (Especialização; MBA; Mestrado; Doutorado, seja completo ou incompleto)",Estudante,0,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,
164,Masculino,Branca,25–49 anos,Fundamental (completo ou incompleto),Motorista de Aplicativo,1,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
165,Feminino,Branca,25–49 anos,Ensino Médio ou Técnico (completo ou incompleto),Empregado (carteira assinada ou autônomo),2,Até 1 salário mínimo:  R$ 1.302,
166,Masculino,Negra ( pretos e pardos),50–64 anos,Fundamental (completo ou incompleto),Empregado (carteira assinada ou autônomo),3,Até 1 salário mínimo:  R$ 1.302,
167,Feminino,Branca,18–24 anos,Graduação (completo ou incompleto),Estudante,0,Não possuo renda,
168,Masculino,Negra ( pretos e pardos),25–49 anos,Ensino Médio ou Técnico (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
169,Feminino,Branca,18–24 anos,Graduação (completo ou incompleto),Estudante,0,Até 1 salário mínimo:  R$ 1.302,
